from,to,relation
JL,SetUp65,1
JL,TTP,1
JL,EA,1
JL,CA,1
JL,USCM,1
MT,RCC,1
MT,VLC,1
MT,VZ,1
MT,LCVB,1
MT,SAP,1
MT,VCM,1
ET,TTP,1
ET,AA,1
ET,EuT,1
ET,LBA,1
HK,VfBU,1
HK,OS,1
HK,BS,1
IVdV,AK,1
IVdV,RCC,1
IVdV,IBF,1
IVdV,CL,1
IVdV,RRV,1
IVdV,CSMT,1
JN,GBL,1
JN,BKS,1
JN,KSPB,1
JN,SMS,1
SL,KAF,1
SL,Bey,1
SL,IVC,1
SL,PSU,1
MSP,BVMB,1
MSP,DSC,1
MSP,BSBC,1
MSP,STM,1
MSP,DIT,1
MSP,GHO,1
MSP,CVB,1
HJ,VfBSLT,1
HJ,VCS,1
HD,AMTVS,1
HD,BS,1
KR,UA,1
KR,BA,1
KR,LBM,1
LB,FVT,1
LB,BS,1
LB,VCOB,1
RK,OKN,1
RK,LPV,1
RK,LPK,1
RK,HL,1
RK,K,1
RK,SP,1
LG,EJMTVS,1
LG,BS,1
JL,NL,2
MT,BG,2
ET,NL,2
HK,DE,2
IVdV,BE,2
JN,PL,2
SL,USA,2
MSP,ES,2
HJ,NL,2
HD,DE,2
KR,USA,2
LB,DE,2
RK,FI,2
